City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,68.95,few clouds,22.2855,114.1577,Mini Hotel Central
1,Alice Town,BS,74.26,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
10,Lata,PT,49.06,overcast clouds,40.1629,-8.3327,Casa Maquia
11,Dosso,NE,69.57,clear sky,13.049,3.1937,Hotel Toubal
14,Punta Arenas,CL,57.31,broken clouds,-53.15,-70.9167,Hotel Hain
17,East London,ZA,72.0,clear sky,-33.0153,27.9116,Tu Casa
18,Sayyan,YE,52.12,few clouds,15.1718,44.3244,ملاطف ابوحورية
21,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
22,Taltal,CL,69.3,clear sky,-25.4,-70.4833,Residencial Karime
29,Moron,AR,64.96,overcast clouds,-34.6534,-58.6198,Hotel Morón
30,Matara,LK,74.7,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
32,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Elda,ES,46.18,clear sky,38.4778,-0.7916,AC Hotel by Marriott Elda
34,Lebu,CL,58.75,clear sky,-37.6167,-73.65,Hostal Las Lilas
38,Ushuaia,AR,49.66,heavy intensity rain,-54.8,-68.3,Albatross Hotel
39,Shingu,JP,49.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
40,Busselton,AU,70.09,few clouds,-33.65,115.3333,Observatory Guest House
45,Saint George,US,68.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
49,Laguna,US,73.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
51,Yarada,IN,73.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
59,Codrington,AU,74.5,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
61,Ribeira Grande,PT,60.15,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
63,Port Alfred,ZA,70.93,clear sky,-33.5906,26.891,The Halyards Hotel
68,Hermanus,ZA,64.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
71,Kaitangata,NZ,63.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
72,Graaff-Reinet,ZA,68.54,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
73,Hasaki,JP,45.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
76,Mantua,IT,49.24,overcast clouds,45.1667,10.7833,Hotel la Favorita
79,Westport,US,48.74,clear sky,41.1415,-73.3579,The Westport Inn
80,Hobart,AU,68.22,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
82,Rio Grande,BR,74.95,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
88,Ixtapa,MX,74.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
92,Castro,BR,62.13,few clouds,-24.7911,-50.0119,CHACARA BAILLY
94,Faya,SA,51.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
96,Port Hardy,CA,46.76,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
98,New Norfolk,AU,67.87,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
99,Naco,MX,63.81,clear sky,31.3347,-109.9483,Motel Colonial
100,Hualmay,PE,71.1,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
101,Middlebury,US,46.9,overcast clouds,44.0153,-73.1673,Courtyard by Marriott Middlebury
103,Taloda,IN,62.83,clear sky,21.5667,74.2167,Kalal ka addha 😎🚩
107,Ponta Do Sol,PT,64.71,few clouds,32.6667,-17.1,Hotel do Campo
114,Atar,MR,66.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
115,Pisco,PE,73.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
118,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Hostel Del Puerto
119,West Wendover,US,50.07,broken clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
123,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
126,Chuy,UY,72.55,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Tyler,US,64.18,clear sky,32.3513,-95.3011,The Woldert-Spence Manor
128,Buta,CD,70.63,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
129,Cape Town,ZA,67.87,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
130,Saldanha,ZA,64.33,few clouds,-33.0117,17.9442,Blue Bay Lodge
132,Kruisfontein,ZA,61.21,clear sky,-34.0033,24.7314,Oyster Bay House Rental
133,Port Elizabeth,ZA,65.86,clear sky,-33.918,25.5701,39 On Nile Guest House
139,Bredasdorp,ZA,63.72,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
140,Altar,MX,72.05,clear sky,30.7,-111.8167,Hotel Maria Elena
142,Colesberg,ZA,70.72,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
145,Tucupita,VE,70.34,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
146,Shakawe,BW,66.24,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
148,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
150,Bharatpur,IN,48.92,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
151,Bluff,NZ,58.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
153,Xiongzhou,CN,49.23,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
154,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
155,Christchurch,NZ,65.95,moderate rain,-43.5333,172.6333,The George
157,Fortuna,US,65.43,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
158,Tuatapere,NZ,58.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
161,Altamira,BR,72.79,overcast clouds,-3.2033,-52.2064,Requinte Hotel
164,Cidreira,BR,74.46,clear sky,-30.1811,-50.2056,Hotel Castelo
166,Perry,US,61.52,broken clouds,37.2506,-83.1999,Hampton Inn & Suites Hazard
