,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,68.95,88,16,5.01,few clouds
1,Alice Town,BS,25.7167,-79.3,74.26,79,100,9.04,overcast clouds
2,Airai,TL,-8.9266,125.4092,68.9,80,81,2.06,broken clouds
3,Albany,US,42.6001,-73.9662,51.8,56,100,1.99,overcast clouds
4,Kodiak,US,57.79,-152.4072,38.71,93,100,0.0,mist
5,Acajutla,SV,13.5928,-89.8275,78.53,70,0,7.49,clear sky
6,Rjukan,NO,59.8789,8.5941,33.04,88,100,12.5,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,79.18,74,0,16.87,light rain
8,Itarema,BR,-2.9248,-39.9167,78.24,80,43,9.93,scattered clouds
9,Torbay,CA,47.6666,-52.7314,36.27,86,0,11.5,clear sky
10,Lata,PT,40.1629,-8.3327,49.06,94,100,1.34,overcast clouds
11,Dosso,NE,13.049,3.1937,69.57,13,0,10.47,clear sky
12,Talnakh,RU,69.4865,88.3972,-11.85,87,94,9.55,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,75.49,94,40,3.44,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,57.31,72,75,28.77,broken clouds
15,Cherskiy,RU,68.75,161.3,-32.53,98,100,6.8,overcast clouds
16,Verkhnyaya Toyma,RU,62.2349,44.9985,11.34,100,98,2.8,overcast clouds
17,East London,ZA,-33.0153,27.9116,72.0,85,0,3.83,clear sky
18,Sayyan,YE,15.1718,44.3244,52.12,53,11,1.3,few clouds
19,Hilo,US,19.7297,-155.09,78.53,67,100,8.05,overcast clouds
20,Borzya,RU,50.3833,116.5167,-19.34,100,78,3.06,broken clouds
21,Mataura,NZ,-46.1927,168.8643,58.48,50,99,9.28,overcast clouds
22,Taltal,CL,-25.4,-70.4833,69.3,74,0,4.63,clear sky
23,Asau,RO,46.4333,26.4,34.72,90,100,4.94,overcast clouds
24,Alofi,NU,-19.0595,-169.9187,82.29,83,2,11.5,clear sky
25,Kukmor,RU,56.1855,50.8944,17.87,97,99,6.13,overcast clouds
26,Ostrovnoy,RU,68.0531,39.5131,14.9,96,94,8.23,overcast clouds
27,Borovoy,RU,55.4333,86.0833,-11.92,84,60,8.95,broken clouds
28,Tasiilaq,GL,65.6145,-37.6368,12.36,69,100,4.16,overcast clouds
29,Moron,AR,-34.6534,-58.6198,64.96,61,100,13.0,overcast clouds
30,Matara,LK,5.9485,80.5353,74.7,91,100,7.72,overcast clouds
31,Qax,AZ,41.4225,46.9242,36.59,68,34,4.68,scattered clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,72.55,100,60,7.49,broken clouds
33,Elda,ES,38.4778,-0.7916,46.18,87,8,2.13,clear sky
34,Lebu,CL,-37.6167,-73.65,58.75,78,0,21.21,clear sky
35,Thompson,CA,55.7435,-97.8558,-20.04,69,20,5.75,few clouds
36,Belluno,IT,46.145,12.2214,40.82,48,0,4.0,clear sky
37,Acapulco,MX,16.8634,-99.8901,80.42,65,75,6.91,broken clouds
38,Ushuaia,AR,-54.8,-68.3,49.66,100,100,6.91,heavy intensity rain
39,Shingu,JP,33.7333,135.9833,49.19,33,100,0.74,overcast clouds
40,Busselton,AU,-33.65,115.3333,70.09,68,13,8.86,few clouds
41,Yellowknife,CA,62.456,-114.3525,-10.71,84,100,2.3,light snow
42,Leningradskiy,RU,69.3833,178.4167,-17.28,96,94,4.47,overcast clouds
43,Ostersund,SE,63.1792,14.6357,28.85,86,40,10.36,scattered clouds
44,Bengkulu,ID,-3.8004,102.2655,76.42,81,100,4.32,overcast clouds
45,Saint George,US,37.1041,-113.5841,68.59,16,0,13.8,clear sky
46,Vaini,TO,-21.2,-175.2,86.16,84,20,8.05,few clouds
47,Butaritari,KI,3.0707,172.7902,81.88,78,73,15.43,light rain
48,Nome,US,64.5011,-165.4064,1.47,55,0,20.71,clear sky
49,Laguna,US,38.421,-121.4238,73.69,50,0,3.44,clear sky
50,Cockburn Town,TC,21.4612,-71.1419,76.96,78,40,14.97,scattered clouds
51,Yarada,IN,17.65,83.2667,73.72,88,75,2.3,mist
52,Sitka,US,57.0531,-135.33,44.49,81,100,8.05,moderate rain
53,Mandalgovi,MN,45.7625,106.2708,-5.93,68,96,3.94,overcast clouds
54,Georgetown,MY,5.4112,100.3354,78.89,87,20,3.44,few clouds
55,Lasa,IT,46.6166,10.7002,31.3,47,6,2.77,clear sky
56,Jamestown,US,42.097,-79.2353,44.1,63,100,13.0,light rain
57,Aklavik,CA,68.2191,-135.0107,-21.17,95,7,9.17,clear sky
58,Cove,BJ,7.221,2.3402,76.84,84,13,2.48,few clouds
59,Codrington,AU,-38.2667,141.9667,74.5,46,2,9.33,clear sky
60,Dhidhdhoo,MV,6.8833,73.1,81.64,71,74,7.61,broken clouds
61,Ribeira Grande,PT,38.5167,-28.7,60.15,75,100,11.81,overcast clouds
62,Tiznit,MA,29.5833,-9.5,53.2,55,0,4.52,clear sky
