City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Summerville,US,2022-02-08 19:18:32,33.0185,-80.1757,50.99,87,100,8.05
1,Necochea,AR,2022-02-08 19:17:07,-38.5473,-58.7368,76.95,44,0,7.02
2,Hermanus,ZA,2022-02-08 19:21:01,-34.4187,19.2345,68.81,92,85,7.05
3,Vostok,RU,2022-02-08 19:21:01,46.4856,135.8833,-3.57,99,100,3.71
4,Kapaa,US,2022-02-08 19:21:02,22.0752,-159.319,75.52,69,0,12.66
5,Haines Junction,CA,2022-02-08 19:21:02,60.7522,-137.5108,31.95,74,100,6.91
6,Tessalit,ML,2022-02-08 19:21:02,20.1986,1.0114,72.27,8,0,9.46
7,Jerantut,MY,2022-02-08 19:21:03,3.936,102.3626,72.28,99,100,1.63
8,Puerto Escondido,MX,2022-02-08 19:21:03,15.85,-97.0667,85.03,70,40,6.91
9,Upernavik,GL,2022-02-08 19:21:04,72.7868,-56.1549,-15.48,91,100,6.26
10,Lebu,CL,2022-02-08 19:21:04,-37.6167,-73.65,66.47,80,50,18.14
11,Den Helder,NL,2022-02-08 19:21:04,52.9599,4.7593,50.02,89,100,17.27
12,Porterville,US,2022-02-08 19:21:05,36.0652,-119.0168,69.6,55,0,2.89
13,Ushuaia,AR,2022-02-08 19:17:39,-54.8,-68.3,58.62,47,40,12.66
14,Petropavlovsk-Kamchatskiy,RU,2022-02-08 19:21:05,53.0452,158.6483,18.19,86,75,2.24
15,Torbay,CA,2022-02-08 19:16:59,47.6666,-52.7314,31.26,81,100,17.27
16,Disna,BY,2022-02-08 19:21:06,55.568,28.1971,30.38,97,100,12.15
17,Cidreira,BR,2022-02-08 19:21:07,-30.1811,-50.2056,74.98,65,49,14.14
18,Tuktoyaktuk,CA,2022-02-08 19:21:07,69.4541,-133.0374,-43.6,66,20,4.61
19,Te Anau,NZ,2022-02-08 19:21:07,-45.4167,167.7167,55.8,88,100,2.21
20,Ginda,IN,2022-02-08 19:21:08,30.6945,78.4932,40.19,69,80,5.3
21,Thompson,CA,2022-02-08 19:21:08,55.7435,-97.8558,19.56,79,100,13.8
22,Ponta Do Sol,PT,2022-02-08 19:21:09,32.6667,-17.1,70.12,27,41,8.66
23,Busselton,AU,2022-02-08 19:21:09,-33.65,115.3333,55.04,82,0,7.58
24,Provideniya,RU,2022-02-08 19:21:09,64.3833,-173.3,-14.82,83,1,12.5
25,Nikolskoye,RU,2022-02-08 19:21:10,59.7035,30.7861,28.29,96,100,4.85
26,Sitka,US,2022-02-08 19:21:10,57.0531,-135.33,46.29,76,100,20.71
27,Bluff,NZ,2022-02-08 19:21:11,-46.6,168.3333,49.8,91,100,12.1
28,Mataura,NZ,2022-02-08 19:21:11,-46.1927,168.8643,49.48,98,100,2.95
29,Negara,ID,2022-02-08 19:21:12,-8.3151,114.6025,76.6,89,45,0.56
30,Atbasar,KZ,2022-02-08 19:21:12,51.8,68.3333,14.27,92,100,9.73
31,Joao Pessoa,BR,2022-02-08 19:21:12,-7.115,-34.8631,86.23,62,40,9.22
32,Indian Head,US,2022-02-08 19:21:13,38.6001,-77.1622,50.36,52,40,7.0
33,Kaeo,NZ,2022-02-08 19:21:13,-35.1,173.7833,74.32,98,89,8.23
34,Broome,US,2022-02-08 19:21:14,42.2506,-75.833,35.1,70,100,8.05
35,Gold Coast,AU,2022-02-08 19:20:05,-28.0,153.4333,66.16,90,27,3.44
36,Boda,CF,2022-02-08 19:21:14,4.3189,17.4695,79.14,19,26,1.88
37,Port Alfred,ZA,2022-02-08 19:21:15,-33.5906,26.891,74.1,88,4,3.29
38,Albany,US,2022-02-08 19:19:43,42.6001,-73.9662,37.02,69,100,4.0
39,Castro,BR,2022-02-08 19:21:15,-24.7911,-50.0119,72.7,75,75,5.12
40,Caravelas,BR,2022-02-08 19:21:16,-17.7125,-39.2481,83.86,61,99,9.24
41,Cape Town,ZA,2022-02-08 19:20:59,-33.9258,18.4232,69.28,71,0,11.5
42,Itaituba,BR,2022-02-08 19:21:16,-4.2761,-55.9836,95.16,59,40,5.75
43,Lakhtar,IN,2022-02-08 19:19:18,22.85,71.7833,70.25,58,2,6.78
44,Hilo,US,2022-02-08 19:21:17,19.7297,-155.09,74.8,68,75,4.61
45,Codrington,AU,2022-02-08 19:22:17,-38.2667,141.9667,67.55,67,100,4.63
46,Hobart,AU,2022-02-08 19:18:54,-42.8794,147.3294,55.06,87,75,5.75
47,Vardo,NO,2022-02-08 19:22:18,70.3705,31.1107,30.18,74,75,23.02
48,Narsaq,GL,2022-02-08 19:22:18,60.9167,-46.05,1.62,61,10,6.64
49,Mananara,MG,2022-02-08 19:22:19,-16.1667,49.7667,76.87,92,100,1.9
50,Atuona,PF,2022-02-08 19:22:19,-9.8,-139.0333,78.12,78,22,17.56
51,Nouadhibou,MR,2022-02-08 19:22:20,20.931,-17.0347,71.58,68,92,8.05
52,Sant Julia De Loria,AD,2022-02-08 19:22:20,42.4625,1.4825,45.57,55,69,2.28
53,Guerrero Negro,MX,2022-02-08 19:22:21,27.9769,-114.0611,71.49,23,95,2.01
54,Taltal,CL,2022-02-08 19:22:21,-25.4,-70.4833,69.24,71,24,4.9
55,Bredasdorp,ZA,2022-02-08 19:22:22,-34.5322,20.0403,69.12,73,1,9.22
56,Toppenish,US,2022-02-08 19:22:22,46.3774,-120.3087,49.87,71,100,1.66
57,Kirakira,SB,2022-02-08 19:22:22,-10.4544,161.9205,79.81,85,100,10.25
58,Mena,UA,2022-02-08 19:22:23,51.5217,32.2157,29.14,90,100,5.46
59,San Patricio,US,2022-02-08 19:22:23,28.017,-97.5169,68.41,30,0,3.49
60,Huambo,AO,2022-02-08 19:21:24,-12.7761,15.7392,59.47,98,100,4.68
61,Hastings,GB,2022-02-08 19:22:24,50.8552,0.5729,51.39,76,100,17.45
62,Lorengau,PG,2022-02-08 19:22:24,-2.0226,147.2712,81.25,82,100,9.19
63,Tasiilaq,GL,2022-02-08 19:22:25,65.6145,-37.6368,19.56,81,100,8.46
64,Nome,US,2022-02-08 19:22:25,64.5011,-165.4064,1.47,55,100,21.85
65,Airai,TL,2022-02-08 19:22:26,-8.9266,125.4092,60.6,96,100,1.45
66,Vila Franca Do Campo,PT,2022-02-08 19:22:26,37.7167,-25.4333,61.2,74,98,7.31
67,Padang,ID,2022-02-08 19:22:26,-0.9492,100.3543,77.76,81,100,5.57
68,Matara,LK,2022-02-08 19:22:27,5.9485,80.5353,75.49,79,97,4.79
69,Dawson,US,2022-02-08 19:22:27,31.7735,-84.4466,55.51,29,100,6.46
70,Puerto Ayora,EC,2022-02-08 19:22:28,-0.7393,-90.3518,82.36,69,62,10.71
71,Alamor,EC,2022-02-08 19:22:28,-4.0181,-80.0197,67.24,80,100,4.56
72,Sao Jose Da Coroa Grande,BR,2022-02-08 19:22:28,-8.8978,-35.1478,83.26,66,0,11.77
73,Yellowknife,CA,2022-02-08 19:21:19,62.456,-114.3525,-14.58,79,75,4.61
74,College,US,2022-02-08 19:18:05,64.8569,-147.8028,-2.25,74,75,4.61
75,Rikitea,PF,2022-02-08 19:22:29,-23.1203,-134.9692,78.33,73,40,10.65
76,Mar Del Plata,AR,2022-02-08 19:22:30,-38.0023,-57.5575,69.82,78,0,13.8
77,Brigantine,US,2022-02-08 19:22:30,39.4101,-74.3646,47.14,57,0,24.16
78,Punta Arenas,CL,2022-02-08 19:17:31,-53.15,-70.9167,57.31,44,40,21.85
79,Gazli,UZ,2022-02-08 19:22:31,40.1333,63.45,40.24,50,35,4.85
80,Qaanaaq,GL,2022-02-08 19:22:31,77.484,-69.3632,-11.78,93,100,4.74
81,Tenenkou,ML,2022-02-08 19:22:32,14.4572,-4.9169,80.85,8,0,9.91
82,Zihuatanejo,MX,2022-02-08 19:22:32,17.6333,-101.55,86.09,66,20,10.36
83,Sao Joao Da Barra,BR,2022-02-08 19:22:32,-21.6403,-41.0511,77.09,85,58,6.64
84,Beringovskiy,RU,2022-02-08 19:22:33,63.05,179.3167,-21.98,91,5,12.26
